area	vertices	type	avg_x	avg_y
1.732	3	0	16.688	70.798
284.7	8	0	210.045	83.99
32.91	5	0	244.271	73.564
535.4	9	0	248.385	85.796
195.1	5	0	171.108	76.674
5.846	4	0	261.019	73.195
186.6	10	1	492.057	81.876
204.2	8	0	49.277	78.893
24.25	4	0	496.857	74.617
372.6	8	0	266.942	87.427
278.6	9	0	384.072	80.579
8.011	5	0	321.831	75.169
13.42	4	0	394.222	75.1
63.65	5	0	402.329	77.06
129.5	6	0	234.442	79.729
17.97	3	0	416.078	76.085
14.94	3	0	145.359	77.032
24.25	5	0	119.759	77.494
67.98	5	0	11.005	83.969
29.01	3	0	303.105	79.293
524.6	8	0	347.007	88.823
34.21	5	0	370.552	80.138
171.3	7	0	20.823	86.045
10.39	4	0	184.839	78.402
124.7	5	0	308.668	84.184
424.8	10	0	408.877	87.158
499.0	9	0	106.07	94.04
33.56	4	1	1.856	83.443
671.2	11	0	155.648	93.008
108.0	6	0	329.115	82.091
1.299	3	0	417.958	79.313
68.2	4	0	122.112	82.749
23.17	4	0	27.607	83.576
322.6	6	0	176.843	89.435
107.4	6	0	62.078	85.884
90.07	6	0	363.395	86.634
532.2	12	0	39.486	94.24
281.9	9	0	477.738	92.317
162.2	5	0	194.757	90.624
358.8	7	0	77.636	92.241
135.7	8	0	322.445	88.768
19.05	3	1	498.943	87.911
81.84	6	0	426.99	86.994
25.55	4	0	370.621	86.694
43.73	4	0	52.635	87.891
81.19	7	0	455.775	87.298
126.7	6	0	120.57	92.448
68.63	7	0	225.069	90.143
150.5	4	0	455.848	93.417
17.75	4	1	0.905	90.864
72.1	7	0	188.176	92.579
450.8	7	1	11.312	101.353
552.3	8	0	376.302	97.066
19.27	5	0	464.997	89.945
69.93	6	0	233.859	94.271
2.165	3	0	486.625	88.984
22.52	5	0	489.601	90.841
74.91	6	0	309.83	93.406
178.8	6	0	398.026	101.407
123.4	5	0	130.692	96.741
289.0	6	0	333.486	100.511
79.46	5	0	62.465	96.562
40.92	6	0	57.614	93.948
289.0	7	0	92.152	104.282
82.27	7	0	200.856	96.187
19.27	4	0	425.61	92.066
81.19	8	1	495.219	95.297
91.58	6	0	214.244	94.862
288.6	9	0	432.498	99.197
44.38	4	0	229.094	96.444
131.6	7	0	448.616	98.838
217.6	7	0	323.555	105.282
240.8	5	0	25.267	107.886
16.89	4	0	313.638	97.167
276.7	7	0	411.034	103.518
176.5	9	0	223.4	103.055
655.1	9	0	258.602	112.678
6.062	3	0	53.804	97.583
176.9	4	0	147.611	103.148
29.88	4	0	182.462	98.592
321.7	6	0	289.594	104.565
3.031	4	0	489.661	97.026
2.598	3	0	207.021	96.887
14.72	5	0	303.816	98.943
139.0	7	0	207.676	104.579
240.1	6	0	389.182	110.832
54.56	6	0	486.942	101.92
291.9	11	0	56.701	112.758
986.4	11	0	130.917	119.433
56.51	6	0	172.129	101.419
289.9	8	0	310.822	109.576
231.7	7	0	479.728	107.903
18.62	4	1	498.509	101.542
21.87	4	0	233.453	101.741
225.8	8	0	462.409	105.783
12.77	4	0	116.534	101.325
442.1	10	0	190.144	109.38
155.5	5	0	276.797	111.336
26.41	5	0	492.557	101.637
267.2	6	0	71.558	107.184
237.9	10	0	241.044	107.619
1.299	4	0	193.0	100.892
230.1	5	0	351.363	109.856
72.31	5	0	169.217	108.619
59.97	6	1	496.542	107.437
160.9	6	0	364.032	109.545
115.4	4	0	422.451	109.405
61.05	6	0	439.379	107.762
176.7	7	0	114.323	114.71
159.3	5	1	4.07	116.386
53.26	4	0	300.752	110.084
12.34	3	0	444.728	107.706
40.49	5	0	46.213	111.812
37.89	3	0	49.803	110.297
334.9	7	0	221.181	116.373
266.7	8	0	450.605	116.655
63.87	7	0	491.269	111.096
290.1	6	0	34.275	117.359
95.48	4	0	269.503	111.428
1507.0	14	0	71.259	139.023
21.43	4	0	105.902	109.78
121.7	7	0	428.633	116.04
108.5	5	0	376.152	114.156
182.1	7	0	153.958	116.848
444.3	9	0	176.567	122.922
394.9	8	0	345.248	123.263
80.97	5	0	473.608	115.336
1.083	3	0	232.05	110.245
12.34	5	0	232.009	113.145
162.6	4	0	438.506	119.048
67.12	4	0	321.897	116.357
186.4	6	0	401.817	120.49
208.5	9	0	102.384	120.81
928.8	8	0	193.111	139.582
502.5	9	0	300.33	123.07
166.3	7	0	413.206	119.041
23.38	4	0	181.377	116.019
121.2	6	1	494.864	119.821
59.54	6	0	15.665	118.801
35.07	3	0	67.531	116.662
452.7	9	0	368.213	129.008
222.6	7	0	462.776	122.439
1.732	3	0	493.594	114.261
18.4	5	0	232.977	117.616
7.578	4	0	92.443	116.122
257.9	7	0	40.848	125.851
3.031	3	0	235.554	116.388
42.0	6	0	486.678	120.083
246.8	8	0	238.518	125.055
317.8	8	0	330.626	128.635
158.5	6	0	381.91	125.938
48.06	5	0	311.166	123.258
36.37	5	0	478.994	121.048
111.7	5	0	10.085	125.721
43.73	3	0	161.668	123.263
36.59	4	0	353.507	121.328
127.3	8	0	279.899	125.265
212.6	7	0	395.19	129.772
193.6	7	0	211.212	129.396
50.88	4	0	421.459	125.174
10.61	5	0	473.908	123.647
3.248	4	0	191.583	122.774
51.31	5	0	108.518	125.912
835.5	12	0	433.505	138.599
96.35	6	0	481.852	126.844
122.3	7	0	471.49	131.16
150.0	6	0	14.645	135.016
369.8	8	0	155.208	133.272
209.8	5	0	54.145	133.765
163.2	7	1	493.881	131.886
8.66	4	0	114.475	126.57
3.464	3	0	270.453	126.575
37.67	4	0	414.931	129.456
65.38	5	0	91.067	130.875
501.2	9	0	254.356	139.58
135.7	7	0	410.064	135.253
107.8	7	0	23.098	133.505
218.5	7	0	276.472	137.107
110.4	7	1	4.184	135.072
3.031	4	0	96.714	128.667
144.4	5	0	110.974	135.025
246.2	7	0	225.35	138.049
64.52	5	0	266.05	132.247
167.6	7	0	455.889	136.983
310.5	7	0	291.37	138.458
72.1	6	0	93.613	137.586
37.89	4	0	462.619	133.118
150.9	8	0	102.732	140.212
83.35	5	0	345.462	137.421
411.1	10	0	484.477	144.294
5.196	4	0	34.104	133.043
98.73	4	0	175.303	135.875
92.88	4	0	236.585	137.632
37.02	5	0	311.877	134.553
662.5	8	0	326.144	148.38
232.1	6	0	42.681	141.6
1.516	4	0	98.214	133.492
388.4	8	0	30.402	148.226
